Game Number,Winner,No. of Wins,Game Time,GOAP Highest Value,GOAP Highest Attack Value,GOAP Highest Defence Value,GOAP Highest Value Time Stamp,GOAP Total Builders,GOAP Total Soldiers,GOAP Total Archers,GOAP Total Walls,MCTS Highest Value,MCTS Highest Attack Value,MCTS Highest Defence Value,MCTS Highest Value Time Stamp,MCTS Total Builders,MCTS Total Soldiers,MCTS Total Archers,MCTS Total Walls,Game Over Time Stamp
273,MCTS,116,48.451000,1506.000000,36.000000,370.000000,31.377001,6,10,3,0,3241.000000,42.000000,455.000000,48.387001,6,5,7,0,24/4/2017 - 15:34:52
274,GOAP,158,70.394997,1962.000000,40.000000,427.000000,41.770000,6,11,9,0,2760.000000,36.000000,345.000000,69.096001,9,10,8,0,24/4/2017 - 15:36:4
275,GOAP,159,29.118999,2089.000000,50.000000,460.000000,29.070999,6,5,1,0,1912.000000,32.000000,425.000000,26.972000,6,4,2,0,24/4/2017 - 15:36:34
276,MCTS,117,47.209999,2141.000000,20.000000,390.000000,41.506001,6,3,8,0,4139.000000,66.000000,529.000000,47.194000,6,10,3,0,24/4/2017 - 15:37:23
277,GOAP,160,43.915001,2387.000000,46.000000,380.000000,43.898998,6,10,2,0,2796.000000,42.000000,445.000000,42.292000,6,5,4,0,24/4/2017 - 15:38:8
278,MCTS,118,34.792999,727.000000,20.000000,370.000000,10.119000,6,8,1,0,2765.000000,52.000000,498.000000,34.761002,6,5,0,0,24/4/2017 - 15:38:44
279,MCTS,119,17.176001,852.000000,22.000000,370.000000,15.653000,6,2,0,0,1065.000000,34.000000,420.000000,17.159000,5,3,0,0,24/4/2017 - 15:39:2
280,GOAP,161,37.446999,766.000000,34.000000,370.000000,35.348999,6,9,1,0,1961.000000,36.000000,440.000000,33.405998,6,5,4,0,24/4/2017 - 15:39:40
281,MCTS,120,85.402000,1694.000000,30.000000,385.000000,78.526001,12,15,8,0,2268.000000,52.000000,420.000000,62.308998,6,15,10,0,24/4/2017 - 15:41:8
282,GOAP,162,34.945999,866.000000,34.000000,370.000000,33.229000,6,8,1,0,2052.000000,42.000000,435.000000,27.219999,6,5,2,0,24/4/2017 - 15:41:44
283,MCTS,121,91.353996,947.000000,32.000000,370.000000,16.836000,10,17,9,0,8048.000000,46.000000,475.000000,91.144997,6,16,11,0,24/4/2017 - 15:43:18
284,GOAP,163,30.007999,763.000000,40.000000,370.000000,28.159000,6,6,1,0,1200.000000,30.000000,405.000000,26.893999,6,5,1,0,24/4/2017 - 15:43:49
285,GOAP,164,29.319000,1398.000000,44.000000,414.000000,29.142000,6,7,0,0,1581.000000,32.000000,430.000000,26.667999,6,5,1,0,24/4/2017 - 15:44:20
286,GOAP,165,26.533001,2052.000000,54.000000,440.000000,26.517000,6,5,1,0,1531.000000,30.000000,395.000000,24.357000,6,3,2,0,24/4/2017 - 15:44:47
287,MCTS,122,14.746000,722.000000,22.000000,370.000000,9.772000,6,1,0,0,938.000000,38.000000,405.000000,14.666000,4,3,0,0,24/4/2017 - 15:45:3
288,GOAP,166,32.188999,1385.000000,44.000000,400.000000,32.076000,6,8,0,0,1861.000000,32.000000,420.000000,30.100000,6,5,2,0,24/4/2017 - 15:45:36
289,MCTS,123,32.922001,1304.000000,22.000000,405.000000,15.454000,6,1,4,0,1841.000000,54.000000,482.000000,32.905998,7,5,2,0,24/4/2017 - 15:46:10
290,GOAP,167,39.771999,1668.000000,44.000000,370.000000,39.612000,6,10,1,0,2340.000000,42.000000,445.000000,34.800999,6,5,4,0,24/4/2017 - 15:46:51
291,MCTS,124,46.369999,1159.000000,22.000000,405.000000,14.198000,6,2,8,0,3612.000000,46.000000,471.000000,46.321999,7,10,2,0,24/4/2017 - 15:47:39
292,GOAP,168,20.052999,1775.000000,42.000000,443.000000,20.035999,6,3,0,0,755.000000,20.000000,330.000000,19.878000,6,1,2,0,24/4/2017 - 15:48:0
293,GOAP,169,48.861000,727.000000,40.000000,370.000000,9.591000,6,10,4,0,2981.000000,62.000000,485.000000,47.361000,6,5,4,0,24/4/2017 - 15:48:51
294,GOAP,170,53.280998,2756.000000,38.000000,370.000000,53.219002,6,10,5,0,3226.000000,42.000000,445.000000,52.025002,6,5,7,0,24/4/2017 - 15:49:45
295,GOAP,171,43.066002,1697.000000,50.000000,370.000000,42.643002,6,9,3,0,3148.000000,42.000000,475.000000,35.096001,6,5,2,0,24/4/2017 - 15:50:30
296,GOAP,172,39.691002,1615.000000,44.000000,370.000000,39.626999,6,7,3,0,2563.000000,42.000000,440.000000,30.247000,6,5,2,0,24/4/2017 - 15:51:11
297,GOAP,173,40.821999,1037.000000,42.000000,385.000000,40.455002,6,10,1,0,2020.000000,52.000000,445.000000,40.087002,6,5,5,0,24/4/2017 - 15:51:53
298,MCTS,125,29.716000,1276.000000,36.000000,370.000000,29.667000,6,7,0,0,1600.000000,56.000000,445.000000,29.635000,6,5,1,0,24/4/2017 - 15:52:23
299,GOAP,174,45.886002,1454.000000,42.000000,370.000000,45.824001,6,10,3,0,2662.000000,42.000000,440.000000,41.344002,6,5,6,0,24/4/2017 - 15:53:11
300,MCTS,126,83.983002,2380.000000,36.000000,390.000000,81.264999,9,11,11,0,6465.000000,62.000000,513.000000,83.952003,6,15,10,0,24/4/2017 - 15:54:37
301,MCTS,127,83.698997,3200.000000,50.000000,450.000000,48.334999,7,16,9,0,7952.000000,56.000000,510.000000,83.651001,6,15,9,0,24/4/2017 - 15:56:3
